state_id,state_name,entry_actions,transition_condition,next_state,timeout_s,timeout_alarm
0,STOPPED,all commands off; counters retained,start request and ready permissive,10,0,
10,HOMING,bowl off; retract gates transfer and eject,all home sensors true,20,4,A101
20,FEED_QUEUE,bowl enable,queue present,30,3,A201
30,ISOLATE_PART,gate1 extend then gate2 sequence,gate positions valid and one part isolated,40,1,A301
40,TRANSFER_TO_INSPECT,transfer extend,transfer work and part at V true,50,1.2,A401
50,TRIGGER_INSPECTION,pulse camera and laser triggers,triggers issued,60,0.2,A501
60,WAIT_RESULTS,hold part stationary,camera done and laser ready,70,1.5,A502
70,DECIDE_ROUTE,latch OK/NG decision,valid result latched,80,0.2,A503
80,EJECT_PART,energize selected OK or NG eject valve,eject work sensor true,90,0.8,A601
90,VERIFY_CLEAR,retract eject and verify V-block empty,eject home and part at V false,100,1.0,A602
100,RETURN_HOME,retract transfer and gates,all home sensors true,110,1.5,A701
110,COUNT_AND_REPEAT,increment total OK/NG and cycle time,no stop request,20,0.2,
110,COUNT_AND_STOP,increment counters and save batch,stop request,0,0,
900,FAULT,drop bowl and motion commands; retain fault code,reset request and cause removed,10,0,
