alarm_id,severity,trigger,automatic_action,operator_message,reset_condition
A001,critical,DI_ESTOP_OK false,drop motion enable and all valve/bowl outputs,Emergency stop circuit open,restore safety loop then acknowledge
A002,critical,DI_GUARD_OK false,drop motion enable and all valve/bowl outputs,Guard door open or unlocked,close and lock guard then acknowledge
A003,high,DI_AIR_OK false,stop bowl and de-energize valves,Air pressure below minimum,restore pressure and verify home sensors
A101,high,homing timeout,stop automatic,Homing not completed - check cylinder sensors,all home sensors valid
A201,medium,feed queue timeout,stop bowl after retry limit,No part at queue - inspect bowl and track,queue sensor valid or manual clear
A301,high,separator timeout,stop bowl and retract gates,Separator gate motion timeout,gate sensors valid and obstruction removed
A401,high,transfer timeout,retract transfer if safe,Transfer did not reach inspection position,transfer home/work sensors valid
A501,medium,trigger handshake invalid,hold part and retry once,Inspection trigger not accepted,controller ready
A502,high,camera or laser result timeout,route part to NG after configured retry,Inspection result timeout,devices online and ready
A503,high,result invalid or contradictory,route part to NG,Invalid inspection result,valid result or supervisor override
A601,high,eject extend timeout,de-energize eject and stop,Eject cylinder did not extend,eject sensors valid
A602,high,part not clear,retry eject once then stop,Part remains in V-block,V-block sensor clear
A701,high,return-home timeout,stop automatic,Mechanism did not return home,all home sensors valid
A801,medium,DI_BIN_OK_FULL true,stop after current part,OK bin full,empty bin and confirm
A802,medium,DI_BIN_NG_FULL true,stop after current part,NG bin full,empty bin and confirm
A901,warning,cycle time above 5.0 s for 10 cycles,continue and flag yellow,Cycle time trending high,supervisor acknowledge after cause review
